epochs,acc,loss,val_acc,val_loss,train_data,features_nb,loss_fct,optimizer,activation_fct,layer_nb,unit_nb,batch_size,dropout,cell_type,encoder
0,0.81096875,0.04097531690299511,0.97648125,0.009588583733141422,160000,7,mse,nadam,sigmoid,1,128,1024,0.2,RNN,labelencoder
1,0.94176875,0.014620587242394685,0.9845125,0.004422011704742908,160000,7,mse,nadam,sigmoid,1,128,1024,0.2,RNN,labelencoder
2,0.9817375,0.0053499014150351284,0.987925,0.0029418082244694233,160000,7,mse,nadam,sigmoid,1,128,1024,0.2,RNN,labelencoder
0,0.86255,0.024338350385427476,0.71248125,0.036417639482021334,160000,7,mse,nadam,softmax,1,128,1024,0.2,RNN,labelencoder
1,0.981275,0.004141132731363177,0.97466875,0.004959504905343056,160000,7,mse,nadam,softmax,1,128,1024,0.2,RNN,labelencoder
2,0.9758875,0.004725836392492056,0.987925,0.0025476913668215275,160000,7,mse,nadam,softmax,1,128,1024,0.2,RNN,labelencoder
0,0.5617875,0.06448956946730613,0.64218125,0.04301914863586426,160000,7,mse,nadam,relu,1,128,1024,0.2,RNN,labelencoder
1,0.89215625,0.02230227665901184,0.86473125,0.017071576088666916,160000,7,mse,nadam,relu,1,128,1024,0.2,RNN,labelencoder
2,0.94575,0.015219645895063878,0.97600625,0.0045449060723185535,160000,7,mse,nadam,relu,1,128,1024,0.2,RNN,labelencoder
0,0.83839375,0.05065773980617523,0.86473125,0.040623657792806626,160000,7,mse,nadam,tanh,1,128,1024,0.2,RNN,labelencoder
1,0.9540625,0.03717728145122528,0.97094375,0.0329719455242157,160000,7,mse,nadam,tanh,1,128,1024,0.2,RNN,labelencoder
2,0.95921875,0.031165361922979355,0.96876875,0.01998979498744011,160000,7,mse,nadam,tanh,1,128,1024,0.2,RNN,labelencoder
